高校名,学校独自URL,生徒数,国公立合格者数,合格率
東京都立総合工科高等学校,https://www.metro.ed.jp/sogokoka-h/,-,-,-
文京高等学校,https://www.metro.ed.jp/bunkyo-h/,-,-,-
一橋高等学校（定時制）,https://www.metro.ed.jp/hitotsubashi-he/,-,-,-
府中高等学校,https://www.metro.ed.jp/fuchu-h/,-,-,-
福生高等学校,https://www.metro.ed.jp/fussa-h/,-,-,-
農芸高等学校,https://www.metro.ed.jp/nogei-h/,-,-,-
富士森高等学校,https://www.metro.ed.jp/fujimori-h/,-,-,-
農産高等学校,https://www.metro.ed.jp/nosan-h/,-,-,-
府中西高等学校,http://www.fuchunishi-h.metro.tokyo.jp/,-,-,-
日比谷高等学校,https://hibiya-h.metro.ed.jp/,-,-,-
東高等学校,http://www.higashi-h.metro.tokyo.jp/,-,-,-
本所高等学校,https://www.metro.ed.jp/honjo-h/,-,-,-
八王子東高等学校,https://www.metro.ed.jp/hachiojihigashi-h/,-,-,-
東村山高等学校,http://www.higashimurayama-h.metro.tokyo.jp/,-,-,-
東大和高等学校,https://www.metro.ed.jp/higashiyamato-h/,-,-,-
青梅総合高等学校,https://www.metro.ed.jp/omesogo-h/,-,-,-
都立農業高等学校,http://www.nogyo-h.metro.tokyo.jp/,-,-,-
府中工科高等学校,https://www.metro.ed.jp/fuchukoka-h/,-,-,-
府中東高等学校,https://www.metro.ed.jp/fuchuhigashi-h/,-,-,-
八王子桑志高等学校,https://hachioji-soushi-h.metro.ed.jp/site/zen/,-,-,-
富士高等学校,https://www.metro.ed.jp/fuji-s/,-,-,-
野津田高等学校,https://www.metro.ed.jp/nozuta-h/,-,-,-
深沢高等学校,http://www.fukasawa-h.metro.tokyo.jp/,-,-,-
日野高等学校,https://www.metro.ed.jp/hino-h/,-,-,-
八丈高等学校,https://www.metro.ed.jp/hachijo-h/,-,-,-
深川高等学校,https://www.metro.ed.jp/fukagawa-h/,-,-,-
光丘高等学校,https://www.metro.ed.jp/hikarigaoka-h/,-,-,-
保谷高等学校,https://www.metro.ed.jp/hoya-h/,-,-,-
広尾高等学校,http://hiroo-h.metro.ed.jp/,-,-,-
淵江高等学校,https://www.metro.ed.jp/fuchie-h/,-,-,-
白鴎高等学校,https://www.metro.ed.jp/hakuo-h/,-,-,-
成瀬高等学校,http://www.naruse-h.metro.tokyo.jp/,-,-,-
目黒高等学校,http://www.meguro-h.metro.tokyo.jp/,-,-,-
羽村高等学校,http://www.hamura-h.metro.tokyo.jp/,-,-,-
八王子北高等学校,https://www.metro.ed.jp/hachiojikita-h/,-,-,-
町田高等学校,http://www.machida-h.metro.tokyo.jp/,-,-,-
小平西高等学校,http://www.metro.ed.jp/kodairanishi-h/,-,-,-
町田工科高等学校,https://www.metro.ed.jp/machidakoka-h/,-,-,-
城東高等学校,https://www.metro.ed.jp/joto-h/,-,-,-
八潮高等学校,http://www.yashio-h.metro.tokyo.jp/,-,-,-
